DateTime,smell_description,zipcode,smell_1,smell_2,smell_3
2016-11-18 19:00:00+00:00,"Exhaust, cigarettes, and industrial pollution.",15222,industrial,,
2016-11-18 21:00:00+00:00,Coal or asphalt burning ,15144,coal,,
2016-11-18 21:00:00+00:00,Paint smell,15201,,,
2016-11-18 23:00:00+00:00,Industry. M&T foundry,15201,,,
2016-11-18 23:00:00+00:00,"Industrial, foul smell",15217,industrial,,
2016-11-19 00:00:00+00:00,Wood smoke,15237,smoke,,
2016-11-19 00:00:00+00:00,Sulphur,15217,sulfur,,
2016-11-19 01:00:00+00:00,Paint,15232,,,
2016-11-19 01:00:00+00:00,Chemicals and egg smell,15217,egg,chemical,
2016-11-19 01:00:00+00:00,"Industrial, rotten egg like",15207,egg,industrial,
2016-11-19 02:00:00+00:00,Rotten eggs,15217,egg,,
2016-11-19 02:00:00+00:00,Woodsmoke and chemicals,15218,woodsmoke,chemical,
2016-11-19 03:00:00+00:00,"Industrial, rotten-egg smell",15217,egg,industrial,
2016-11-19 03:00:00+00:00,"Sulfurous, stinky air and Awair sensor VOC's above 1370ppb, Which is exceptionally high.",15217,,,
2016-11-19 03:00:00+00:00,Sulfur like,15208,sulfur,,
2016-11-19 03:00:00+00:00,"Industrial, metallic c",15217,industrial,,
2016-11-19 06:00:00+00:00,Oily industrial smell,15207,industrial,,
2016-11-19 12:00:00+00:00,"Industrial, sulfer",15217,industrial,,
2016-11-19 13:00:00+00:00,Disgusting odor ,15217,,,
2016-11-19 13:00:00+00:00,Industrial,15120,industrial,,
2016-11-19 14:00:00+00:00,Industrial metal sulfur,15238,sulfur,industrial,
2016-11-19 14:00:00+00:00,Industrial pollution,15218,industrial,,
2016-11-19 14:00:00+00:00,exhaust fumes,15221,,,
2016-11-19 20:00:00+00:00,Diesel exhaust from 20-30 buses,15213,diesel,,
2016-11-20 01:00:00+00:00,Woodsmoke.,15227,woodsmoke,,
2016-11-23 07:00:00+00:00,"Noxious, cannot describe. Does not smell like sulfur",15218,sulfur,,
2016-11-23 09:00:00+00:00,"Acrid, industrial smell, entered house. Most noticeable on 1st floor currently. No wind last few hours. Plumage evident by elevated particle counts. CO2 sharply higher.",15218,acrid,industrial,
2016-11-23 13:00:00+00:00,Sulfuric,15104,,,
2016-11-23 13:00:00+00:00,horrible sulfur smell. woke me up in the middle of the night.,15217,sulfur,,
2016-11-23 15:00:00+00:00,Burnt stuff,15218,,,
2016-11-23 15:00:00+00:00,Burnt chemicals,15213,chemical,,
2016-11-23 15:00:00+00:00,Burnt chemical smell,15213,chemical,,
2016-11-23 15:00:00+00:00,Rotten eggs / gas,15025,egg,gas,
2016-11-24 02:00:00+00:00,Wood smoke. ,15238,smoke,,
