DateTime,smell_1,smell_2,smell_3,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH,3.feed_5975.PM2_5
2018-01-26 14:00:00+00:00,sulfur,gas,,758.0,24.2,43.6,19.4,17.0,31.2,178.0,3.2,17.0
2018-01-26 23:00:00+00:00,sulfur,,,189.2,7.7,8.1,0.3,0.0,14.2,200.0,5.1,0.0
2018-01-27 00:00:00+00:00,industrial,sulfur,,250.1,17.5,17.9,0.4,2.0,15.6,191.0,2.9,2.0
2018-01-31 18:00:00+00:00,,,,426.6,12.5,20.1,7.5,11.0,14.3,200.0,9.8,11.0
2018-01-31 22:00:00+00:00,sulfur,industrial,,164.6,8.5,10.0,1.5,2.0,14.7,206.0,7.1,2.0
2018-01-31 23:00:00+00:00,industrial,sulfur,,183.0,9.6,10.1,0.5,1.0,13.2,204.0,6.7,1.0
2018-02-01 05:00:00+00:00,industrial,sulfur,,160.1,8.0,8.4,0.3,3.0,13.6,210.0,6.7,3.0
2018-02-01 05:00:00+00:00,egg,sulfur,,160.1,8.0,8.4,0.3,3.0,13.6,210.0,6.7,3.0
2018-02-04 03:00:00+00:00,sulfur,,,491.5,17.1,17.9,0.8,7.0,31.7,164.0,2.7,7.0
2018-02-04 14:00:00+00:00,industrial,sulfur,,411.0,9.1,9.9,0.7,10.0,17.0,197.0,7.3,10.0
2018-02-07 02:00:00+00:00,woodsmoke,,,285.8,11.7,13.1,1.3,12.0,58.1,152.0,0.6,12.0
2018-02-09 22:00:00+00:00,,,,1186.9,22.6,29.6,6.9,20.0,25.2,178.0,3.7,20.0
2018-02-09 23:00:00+00:00,egg,,,890.6,19.8,21.8,1.9,22.0,25.1,172.0,2.7,22.0
2018-02-10 01:00:00+00:00,egg,industrial,,1990.0,34.2,38.0,3.8,22.0,19.4,187.0,3.7,22.0
2018-02-10 07:00:00+00:00,egg,sulfur,,-1.0,26.9,28.9,2.0,30.0,13.4,195.0,4.4,30.0
