DateTime,smell_1,smell_2,smell_3,3.feed_28.H2S_PPM,3.feed_28.SO2_PPM,3.feed_28.SIGTHETA_DEG,3.feed_28.SONICWD_DEG,3.feed_28.SONICWS_MPH,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3,3.feed_3508.PM2_5
2023-12-22 21:00:00+00:00,,,,0.001,0.001,-1.0,163.0,2.8,-1.0,-1.0,7.1
2023-12-23 18:00:00+00:00,,,,0.004,0.006,-1.0,188.0,5.9,-1.0,-1.0,9.2
2024-01-22 17:00:00+00:00,industrial,chemical,,-1.0,-1.0,-1.0,208.0,6.4,-1.0,-1.0,16.6
2024-01-22 18:00:00+00:00,industrial,,,0.007,0.008,-1.0,216.0,8.3,-1.0,-1.0,8.8
2024-01-24 17:00:00+00:00,industrial,,,0.038,0.004,-1.0,36.0,0.8,-1.0,-1.0,42.0
2024-01-24 19:00:00+00:00,egg,sewage,,0.003,0.001,-1.0,53.0,0.6,-1.0,-1.0,18.0
2024-02-02 15:00:00+00:00,industrial,,,,,,,,,,
2024-02-03 22:00:00+00:00,chemical,,,,,,,,,,
2024-02-08 14:00:00+00:00,sulfur,industrial,,,,,,,,,
2024-02-09 00:00:00+00:00,,,,,,,,,,,
2024-02-09 00:00:00+00:00,industrial,,,,,,,,,,
2024-02-16 19:00:00+00:00,industrial,,,,,,,,,,
2024-02-21 18:00:00+00:00,gas,,,,,,,,,,
2024-02-22 23:00:00+00:00,gas,,,,,,,,,,
